CUMPRINC;Returns the cumulative principal paid on a loan between two periods;ОБЩДОХОД;Возвращает кумулятивную (нарастающим итогом) сумму, выплачиваемую в погашение основной суммы займа в промежутке между двумя периодами.;;;;
DATE;Returns the serial number of a particular date;ДАТА;Возвращает заданную дату в числовом формате.;DATE;;;
DATEDIF;Calculates the number of days, months, or years between two dates. This  function is useful in formulas where you need to calculate an age.;РАЗНДАТ;Вычисляет количество дней, месяцев или лет между двумя датами. Эта функция полезна в формулах расчета возраста.;DATEDIF;;;
DATEVALUE;Converts a date in the form of text to a serial number;ДАТАЗНАЧ;Преобразует дату из текстового формата в числовой.;DATEVALUE;;;
DAVERAGE;Returns the average of selected database entries;ДСРЗНАЧ;Возвращает среднее значение выбранных записей базы данных.;;;;
DAY;Converts a serial number to a day of the month;ДЕНЬ;Преобразует дату в числовом формате в день месяца.;DAY;;;
DAYS;Returns the number of days between two dates;ДНИ;Возвращает количество дней между двумя датами.;DAYS;;;
DAYS360;Calculates the number of days between two dates based on a 360-day year;ДНЕЙ360;Вычисляет количество дней между двумя датами на основе 360-дневного года.;DAYS360;;;
DB;Returns the depreciation of an asset for a specified period by using the fixed-declining balance method;ФУО;Возвращает величину амортизации актива для заданного периода, рассчитанную методом фиксированного уменьшения остатка.;;;;
DBCS;Changes half-width (single-byte) English letters or katakana within a character string to full-width (double-byte) characters;DBCS;Для языков с двухбайтовыми наборами знаков (например, катакана) преобразует полуширинные (однобайтовые) знаки в текстовой строке в полноширинные (двухбайтовые).;DBCS;;;
DCOUNT;Counts the cells that contain numbers in a database;БСЧЁТ;Подсчитывает количество числовых ячеек в базе данных.;;;;
DCOUNTA;Counts nonblank cells in a database;БСЧЁТА;Подсчитывает количество непустых ячеек в базе данных.;;;;
DDB;Returns the depreciation of an asset for a specified period by using the double-declining balance method or some other method that you specify;ДДОБ;Возвращает величину амортизации актива за данный период, используя метод двойного уменьшения остатка или иной явно указанный метод.;;;;
DEC2BIN;Converts a decimal number to binary;ДЕС.В.ДВ;Преобразует десятичное число в двоичное.;DEC2BIN;;;
DEC2HEX;Converts a decimal number to hexadecimal;ДЕС.В.ШЕСТН;Преобразует десятичное число в шестнадцатеричное.;DEC2HEX;;;
